x,y,z,1,2,3,4
-31328,-2340,11704,80,71,84,76
-24816,-2816,10708,80,70,85,76
-22040,-2752,9448,79,70,84,77
-18468,-2564,6992,79,70,85,77
-14088,-3476,4372,79,70,85,77
-10776,-4124,2656,79,70,85,77
-6300,-4712,760,79,71,84,76
-4448,-4776,-380,79,70,85,77
-3164,-4488,-1220,79,69,85,77
-3440,-4248,-2192,79,70,85,77
-4272,-4160,-2732,79,69,85,76
-7488,-4216,-2804,79,69,85,76
-12680,-4060,-2896,80,70,85,76
-15200,-4216,-2608,80,70,85,77
-17036,-4552,-2584,80,69,85,77
-17280,-4856,-2164,80,68,85,77
-16912,-4524,-1956,79,69,85,77
-16084,-3560,-1876,80,68,85,77
-15536,-2332,-1504,80,69,85,77
-16024,-956,-1560,80,69,85,78
-16560,-460,-1152,80,69,85,78
-19672,1304,-464,80,69,85,78
-19028,1684,-1480,80,68,85,77
-17048,2660,-2040,80,68,85,77
-13512,3400,-2336,80,68,85,77
-15796,5448,-2276,80,67,85,77
-17392,6420,-2444,80,68,86,77
-17904,7392,-2876,80,67,85,77
-18108,7880,-3152,80,67,86,77
-17856,8524,-3172,80,67,86,77
-16568,8460,-3732,80,68,86,77
-16404,8508,-3740,80,68,86,78
-16936,8444,-3968,80,68,86,78
-17056,8240,-3856,80,68,86,78
-17004,7600,-4352,80,68,86,78
-16656,6528,-4080,80,68,86,78
-16500,5864,-4096,80,68,86,78
-16264,4820,-4012,80,68,86,78
-15952,3424,-3864,80,68,86,78
-16008,2528,-3616,81,68,86,78
-16200,1228,-3588,81,68,86,78
-16280,380,-3288,80,68,86,78
-16480,-248,-3208,81,69,86,78
-16772,-892,-3136,80,68,86,78
-16980,-1320,-2948,81,68,86,78
-17248,-1672,-3056,81,68,86,78
-17440,-2132,-2944,81,68,86,78
-17296,-2456,-2828,81,68,86,78
-17204,-2672,-2696,81,68,86,78
-17080,-2932,-2612,81,68,87,78
-17080,-2916,-2464,81,69,87,78
-17132,-2932,-2292,81,68,87,78
-17276,-2772,-2396,81,68,87,79
-17168,-2608,-2600,81,68,87,79
-16940,-2556,-2304,81,68,87,79
-16852,-2460,-2348,81,68,87,79
-16896,-2228,-2240,81,68,87,79
-16896,-2144,-2652,81,68,87,79
-16820,-2176,-2828,81,69,87,79
-16840,-1960,-2612,81,69,87,79
-16768,-1880,-2768,81,68,87,79
-17244,-1476,-2828,81,68,87,78
-17472,-1268,-2808,81,68,87,79
-17132,-1224,-3288,81,68,87,79
-16568,-1376,-3160,81,68,87,79
-17384,-756,-3136,81,68,87,79
-17912,-340,-3156,81,68,87,79
-18060,-76,-2988,82,67,87,78
-17896,108,-3172,81,68,87,78
-17344,452,-3112,82,68,87,79
-16852,860,-3276,82,68,87,78
-16536,1060,-3312,81,68,88,78
-16240,1460,-3396,82,68,88,78
-16120,1556,-3396,82,67,88,78
-15940,1796,-3324,82,67,88,78
-16064,2096,-3468,82,67,88,78
-16120,2248,-3464,82,67,88,78
-16432,2428,-3572,82,67,88,78
-16464,2492,-3588,82,68,88,78
-16492,2608,-3560,82,67,88,78
-16344,2392,-3452,82,67,88,78
-16648,2768,-3328,82,67,88,78
-16728,2516,-3300,82,67,88,78
-16584,2504,-3436,82,67,88,78
-16496,2572,-3252,82,67,88,78
-16620,2380,-3244,82,67,88,78
-16836,2380,-3208,82,67,88,78
-16916,2328,-3208,82,67,88,77
-17208,2432,-3232,82,67,88,77
-17168,2144,-3164,82,67,88,77
-17260,2264,-3268,82,67,88,77
-17604,2168,-3296,82,67,88,77
-17592,2072,-3248,82,67,88,77
-17596,1976,-3360,82,66,88,77
-17440,1752,-3392,82,67,88,77
-17248,1516,-3484,82,66,88,77
-17044,1180,-3396,82,67,88,77
-16696,1020,-3624,82,67,88,77
-16524,784,-3476,82,67,88,77
-16364,504,-3416,82,67,88,77
-16272,404,-3444,82,67,88,76
-16276,212,-3324,82,67,88,77
-16264,32,-3252,82,67,88,77
-16224,-120,-3436,82,67,88,77
-16376,-168,-3352,82,67,88,76
-16420,-356,-3500,82,67,88,76
-16628,-484,-3360,82,67,88,77
-16652,-548,-3464,82,67,88,77
-16824,-568,-3496,82,67,88,77
-16836,-624,-3324,82,67,88,77
-16864,-864,-3468,82,67,89,76
-16840,-820,-3432,82,67,88,76
-17044,-664,-3572,82,67,88,76
-17008,-776,-3520,82,67,88,76
-17004,-624,-3528,82,67,89,76
-16968,-628,-3660,82,67,88,76
-17040,-656,-3628,82,67,89,76
-16888,-628,-3788,82,66,88,77
-16940,-524,-3852,82,66,88,77
-16836,-572,-3900,82,66,88,77
-16704,-416,-3868,82,66,89,77
-16744,-336,-3868,82,66,89,77
-16648,-284,-3852,82,66,89,77
-16784,-168,-3736,82,67,89,77
-16576,-32,-3932,82,67,89,77
-16704,8,-3924,82,67,89,77
-16640,168,-4040,82,67,89,77
-16568,248,-4084,82,66,89,77
-16628,208,-4120,82,66,89,77
-16692,292,-4032,82,67,89,77
-16592,204,-4084,83,67,89,77
-16572,304,-4096,82,67,89,77
-16516,292,-4108,83,67,89,76
-16536,316,-4128,83,66,89,77
-16540,372,-4296,83,67,89,76
-16608,364,-4420,83,67,89,76
-16664,328,-4336,83,66,89,76
-16804,468,-4248,83,67,89,76
-16816,504,-4440,83,67,89,76
,,,,,,
,,,,,,
-14196,2684,5012,69,63,74,63
-14284,2668,4828,69,63,74,62
-14112,2784,4476,69,63,74,63
-14132,2800,4604,69,62,74,62
-13976,2928,4532,69,62,74,63
-13980,2864,4232,69,62,74,64
-13880,2820,4164,69,62,74,64
-13888,2860,4004,69,62,74,63
-13964,2820,3604,69,62,74,63
-13888,2672,3740,69,62,74,63
-13836,2512,3652,69,62,74,63
-13756,2232,3516,69,62,74,63
-13532,2184,3432,69,62,74,62
-13472,1636,3388,69,62,74,62
-13416,1416,3196,69,62,74,61
-13348,1008,3276,69,62,74,62
-13416,776,3256,69,62,74,62
-13456,376,3028,69,62,74,62
-13204,-236,2704,69,62,74,62
-13544,-660,2688,68,62,74,62
