x,y,z,1,2,3,4
-20168,-5320,-11492,72,63,79,55
-19432,-4080,-12588,71,63,78,55
-19012,-2556,-13604,71,63,78,55
-17972,-1416,-14400,70,63,78,55
-17412,-588,-15168,70,63,77,58
-17332,16,-15408,69,63,77,58
-17372,936,-15452,69,62,76,56
-17452,1836,-14980,68,62,76,60
-17888,2572,-14008,68,63,76,60
-18912,3908,-12380,68,63,75,63
-20392,5208,-10404,68,63,75,63
-21740,5880,-9084,67,63,75,63
-23316,6808,-7244,67,64,75,63
-24768,7468,-5640,67,62,74,63
-25244,7956,-4488,66,62,74,63
-25368,8244,-3256,66,63,74,62
-24884,8308,-2412,66,62,74,63
-24480,8296,-2076,66,63,73,63
-23480,8044,-1480,66,63,73,62
-22628,8012,-1260,66,64,73,63
-21784,7628,-892,66,64,73,63
-20884,7320,-512,66,64,73,60
-20332,6976,-232,66,64,73,62
-20316,6544,-368,66,63,73,63
-20572,6536,-420,66,64,73,63
-20908,6312,-452,66,64,73,63
-21368,5992,-592,66,64,73,64
-21192,5960,-840,67,65,73,63
-20944,5740,-1052,67,65,73,64
-20808,5676,-1436,67,65,73,64
-20200,5312,-1476,67,65,73,64
-19840,5236,-1384,67,65,73,64
-20456,4712,-1168,67,65,73,64
-20924,4624,-1616,67,65,73,64
-20744,5392,-908,67,65,73,64
-20008,5416,-500,66,65,73,64
-19036,5356,-476,66,65,73,63
-18536,5108,-452,66,65,73,64
-18208,4680,-704,67,65,73,64
-18076,4480,-988,66,65,73,64
-18040,4124,-1260,66,64,73,64
-17816,3788,-1748,66,65,73,64
-17828,3124,-2024,66,65,72,64
-17828,2184,-2304,66,65,72,63
-17772,1668,-2732,66,64,73,64
-17592,896,-2896,66,64,72,64
-17460,72,-3032,66,65,72,64
-20076,-1132,-2980,66,65,72,64
-13136,-5468,-3040,66,65,72,64
-12824,-1500,-3528,66,64,72,63
-18248,368,-2340,66,64,72,64
-18308,-2328,-4032,66,64,72,63
-18584,-3408,-4188,66,64,72,64
-18884,-3504,-3256,66,64,72,64
-18516,-4548,-3240,66,64,72,63
-17316,-5376,-3384,66,64,72,63
-16564,-5732,-3232,66,65,72,63
-16132,-5820,-2560,66,65,72,63
-16148,-5644,-2336,66,65,72,63
-15708,-5700,-2232,66,65,72,63
-15588,-5728,-2264,66,65,72,63
-15380,-5548,-2408,66,65,71,63
-15612,-5336,-2152,66,65,71,63
-14944,-5248,-2364,66,64,71,63
-14040,-5272,-2360,66,65,71,62
-13600,-4712,-2160,66,65,71,62
-12892,-4308,-2464,66,64,71,62
-12552,-3928,-2280,66,64,71,62
-13144,-3336,-2200,66,64,71,61
-14104,-2888,-2452,66,64,71,60
-14568,-2636,-2304,66,64,71,61
-14748,-2664,-2368,66,63,71,62
-14792,-2508,-2148,66,63,71,61
-14772,-2444,-2388,66,63,71,62
-14468,-2464,-2324,66,63,71,61
-14356,-2704,-2348,66,63,71,60
-14064,-2424,-2560,66,62,71,60
-13212,-2644,-2704,66,62,71,60
-13876,-2376,-2748,66,62,71,60
-14452,-2276,-2896,66,62,71,61
-14188,-2320,-3408,66,62,71,60
-13572,-2792,-3808,65,62,71,59
-13332,-2808,-4116,66,62,70,59
-13056,-2776,-4276,66,63,71,60
-12668,-2952,-4460,65,63,71,59
-12724,-2964,-4460,65,62,70,60
-13144,-3060,-4372,65,62,70,60
-12796,-3080,-4480,65,62,70,60
-12652,-3260,-4968,65,62,70,60
-12896,-3464,-4648,65,62,70,60
-12680,-3180,-4616,65,63,70,60
-12144,-3228,-4628,65,63,70,61
-12748,-3284,-4400,65,63,70,61
-13224,-3296,-4448,65,63,70,61
-13636,-3344,-4496,65,63,71,62
-13824,-3144,-4348,65,63,70,61
-13732,-3028,-4252,65,63,70,61
-13556,-2924,-4252,65,64,70,60
-13496,-2844,-4040,65,63,70,61
-13456,-2440,-4128,65,63,70,61
-13552,-2380,-4192,65,63,70,60
-13764,-2236,-4032,65,63,70,60
-13852,-2168,-4016,65,63,70,60
-13844,-2096,-4148,65,63,70,60
-13700,-2256,-4248,65,63,70,60
-13708,-2348,-4248,65,63,70,60
-13660,-2464,-4180,65,63,70,59
-13344,-2456,-4280,65,62,70,59
-13236,-2748,-4200,65,62,70,60
-13488,-2932,-4132,65,62,70,60
-13788,-3168,-4220,64,62,69,60
-14136,-3404,-4152,64,62,70,61
-14352,-3860,-4164,64,62,69,60
-14344,-4052,-4240,64,62,69,60
-14420,-4240,-4292,64,62,69,60
-14452,-4764,-4380,64,62,70,61
-14616,-5156,-4332,64,62,69,60
-14672,-5440,-4300,64,63,69,60
-14668,-5644,-4408,64,62,69,60
-14560,-5716,-4380,64,62,69,60
-14600,-5752,-4392,64,62,69,60
-14624,-5824,-4560,64,63,69,58
-14692,-5680,-4556,64,62,69,60
-14788,-5868,-4660,64,62,69,60
-14848,-5760,-4688,64,63,69,60
-14952,-5680,-4808,64,63,69,60
-14980,-5640,-4812,64,62,69,61
-14964,-5524,-4788,64,63,69,60
-14780,-5436,-4928,64,63,69,60
-14924,-5352,-4876,64,62,68,60
-15020,-5184,-4564,64,62,68,60
-14916,-5008,-4552,64,62,68,61
-15076,-4716,-4552,64,62,69,60
-15036,-4524,-4368,64,62,68,61
-15188,-4424,-4236,63,62,68,60
-15216,-4388,-4032,63,62,68,60
-15356,-4288,-4116,64,62,69,59
-15172,-4096,-3896,63,62,68,60
-15124,-3852,-3956,63,62,68,60
-15156,-3620,-3972,63,61,68,60
-15156,-3588,-3988,63,62,69,60
-15292,-3400,-3876,63,61,68,59
-15164,-3160,-4052,63,62,69,59
-15284,-3104,-3996,63,61,69,58
-15556,-2824,-4072,63,61,69,58
-15612,-2676,-4160,63,61,68,58
-15660,-2544,-4232,63,61,68,58
-15788,-2400,-4508,63,61,68,58
-15784,-2472,-4324,63,60,68,58
-15824,-2272,-4564,63,60,68,58
-15808,-2408,-4484,63,60,69,58
-15764,-2408,-4644,63,60,68,58
-15380,-2428,-4480,63,60,68,58
-14980,-2600,-3916,63,60,68,59
-13840,-1368,-5344,63,60,68,58
-13632,-3112,-4844,63,60,68,58
-17580,-2916,-4388,63,59,68,58
-15840,-2956,-4772,63,60,68,58
-16976,-3300,-4688,63,60,68,58
-17168,-2844,-4628,63,60,68,58
-16832,-3040,-4472,63,59,68,58
-17080,-2964,-4816,63,59,68,58
-16552,-2660,-4960,63,60,68,58
-16960,-2568,-4696,63,60,68,59
-16800,-2344,-4652,63,60,68,58
-16840,-2228,-4744,63,60,68,58
-16652,-1860,-4604,63,60,68,58
-16612,-1668,-4888,62,59,68,58
-16508,-1636,-4864,63,59,68,58
-16668,-1516,-4768,62,60,68,58
-16756,-1596,-4556,63,59,68,58
-17096,-1392,-4564,62,59,68,58
-17296,-1412,-4680,62,59,68,58
-17340,-1472,-4476,62,59,68,58
-16864,-1312,-4400,62,59,68,58
-16264,-1164,-4820,62,59,68,57
-16260,-1276,-4448,62,59,67,57
-16832,-1232,-4484,62,59,68,58
-16232,-1276,-4476,62,59,67,58
-16560,-1248,-4680,62,58,67,58
-16452,-1240,-4744,62,59,67,57
-15788,-1004,-4636,62,58,67,58
-16476,-980,-4752,62,59,67,58
-16600,-948,-4860,62,59,68,57
-16620,-1080,-4616,62,59,67,58
-16768,-708,-4652,62,59,67,58
-16568,-624,-4508,62,58,67,57
-16000,-728,-4732,62,58,67,58
-16048,-952,-4696,62,59,67,58
-15724,-792,-4768,62,59,67,57
-16204,-972,-4704,62,59,67,58
-16236,-988,-4676,62,59,67,58
-16192,-1012,-4580,62,59,67,58
-16656,-996,-4460,62,58,67,58
-16156,-996,-4504,62,58,67,58
-16348,-924,-4304,62,59,67,58
-16536,-948,-4596,62,59,67,58
-16580,-952,-4724,61,59,67,58
-16608,-892,-4796,61,59,67,58
-16720,-900,-4992,61,59,67,58
-16688,-900,-5052,61,59,67,58
-16552,-1000,-5076,61,59,67,58
-16524,-848,-5280,61,59,67,58
-16472,-920,-5284,61,59,67,58
-16592,-844,-5388,61,59,67,58
-16568,-732,-5660,61,59,67,59
-16588,-740,-5816,61,59,67,59
-16700,-648,-5872,61,59,67,59
-16476,-672,-5888,61,59,67,60
-16168,-664,-5852,61,60,67,59
-15964,-456,-5800,61,59,67,60
-15728,-348,-5828,61,60,67,60
-15280,-296,-5748,61,59,67,60
-15124,140,-5672,61,59,67,60
-14952,384,-5716,60,59,67,60
-14768,636,-5628,60,59,67,60
-14640,708,-5392,61,59,67,60
-14604,712,-5488,60,58,67,60
-14552,820,-5616,60,59,67,59
-14024,880,-5500,60,56,67,57
-13140,788,-5712,60,54,67,56
-14208,784,-5404,60,56,67,57
-10384,664,-5080,60,55,67,57
-9884,1168,-4292,60,55,66,56
-9976,892,-4376,59,55,66,54
-12864,396,-4360,59,56,66,55
